"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2568","TC005: File downloads from Download page","chromium","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","3781","TC004: Transition to Projects page","webkit","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","3791","TC005: File downloads from Download page","webkit","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","2283","TC004: Transition to Projects page","chromium","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","3714","TC003: Login with incorrect data is blocked","chromium","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","2227","TC001: Home page successfully loaded","chromium","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","6614","TC001: Home page successfully loaded","webkit","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","3449","TC002: Site search works","webkit","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","1811","TC004: Transition to Projects page","firefox","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","5090","TC003: Login with incorrect data is blocked","webkit","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","2090","TC001: Home page successfully loaded","firefox","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","2356","TC002: Site search works","chromium","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","3168","TC003: Login with incorrect data is blocked","firefox","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","1872","TC002: Site search works","firefox","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
"","3084","TC005: File downloads from Download page","firefox","2026-06-17","passed","2026-06-17","Redmine.org Test Suite","redmine.spec.ts","",""
